"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Test Suites","0","Test Suite API","1","0","Delete test suite with incorrect parameter 'Destination Id''","0"
"0","Projects","1","Project UI creation","0","0","User cannot create project without required name","0"
"0","Projects","1","Project UI settings","0","0","Upload invalid project logo","0"
"0","Authentication","0","Login UI","2","0","User cannot log in with invalid credentials","0"
"0","Projects","1","Project UI settings","0","0","Append Update to project fields","0"
"0","Projects","0","Project API","1","0","Create project with empty body","0"
"0","Projects","0","Project UI creation","1","0","User creates a project without members","0"
"0","Test Cases","0","Test Case API","1","0","CRUD operations on test case with all fields","0"
"0","Projects","0","Project API","1","0","CRUD operations on project with all fields","0"
"0","Suites","0","Suite UI creation","1","0","User cancels suite creation","0"
"0","Projects","1","Project UI creation","0","0","User cannot create empty project","0"
"0","Projects","1","Project UI settings","0","0","Update project without code","0"
"0","Suites","0","Suite UI creation","1","0","User creates a suite with all fields filled","0"
"0","Authentication","0","Login UI","1","0","User logs in with valid credentials","0"
"0","Projects","1","Project UI settings","0","0","Update all project fields","0"
"0","Authentication","0","Login UI","3","0","User cannot log in without required fields","0"
"0","Authentication","0","Login UI","1","0","User can manage Remember me option","0"
"0","Projects","1","Project UI settings","0","0","Update project without name","0"
"0","Projects","1","Project UI creation","0","0","User cannot create project without required code","0"
"0","Projects","0","Project UI creation","1","0","User creates a project with all fields filled","0"
"0","Projects","1","Project UI settings","0","0","Upload valid project logo","0"
"0","Projects","0","Project UI creation","1","0","User creates a project with group access","0"
"0","Suites","1","Suite UI creation","0","0","Import suite by invalid file with .txt","0"
"0","Projects","0","Project API","1","0","Create project without required fields","0"
"0","Projects","0","Project UI creation","1","0","User creates a project with public access","0"
"0","Test Suites","0","Test Suite API","1","0","Update test suite with incorrect parameter 'Parent Id'","0"
"0","Projects","0","Project UI creation","1","0","User creates project with required fields","0"
"0","Test Suites","0","Test Suite API","1","0","Get test suite by non-existent id","0"
"0","Suites","1","Suite UI creation","0","0","Import suite by valid file with .csv","0"
"0","Projects","0","Project API","1","0","Create project with only required fields","0"
"0","Projects","1","Project UI creation","0","0","User cannot create project with group access without selected group","0"
"0","Projects","1","Project UI creation","0","0","User cancels project creation","0"
"0","Test Suites","0","Test Suite API","1","0","Create test suite without title","0"
"0","Test Suites","0","Test Suite API","1","0","CRUD operations on test suite with all fields","0"
