"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42550","Verify that suite is not created after clicking Cancel button","Full Tests","2026-07-28","failed","2026-07-28","tests.ui.SuiteUITest","UI Tests","tests.ui.SuiteUITest","checkSuiteIsNotCreationAfterCancel"
"","5829","Verify that project is not created after clicking Cancel button","Full Tests","2026-07-28","passed","2026-07-28","tests.ui.ProjectUiTest","UI Tests","tests.ui.ProjectUiTest","checkProjectIsNotCreatedAfterCancel"
"","606","Verifies that user can's delete test suite with incorrect parameter 'Destination Id'","Full Tests","2026-07-28","passed","2026-07-28","tests.api.SuiteApiTest","API Tests","tests.api.SuiteApiTest","checkDeleteTestSuiteWithNonExistingDestinationId"
"","3390","Verify that user cannot log in with incorrect username or password","Full Tests","2026-07-28","passed","2026-07-28","tests.ui.LoginUiTest","UI Tests","tests.ui.LoginUiTest","checkLoginWithInvalidCredentials"
"","915","Verifies that user can create project with only required fields","Full Tests","2026-07-28","passed","2026-07-28","tests.api.ProjectApiTest","API Tests","tests.api.ProjectApiTest","createProjectWithRequiredFields"
"","8120","Verify that user can successfully create project with required fields only","Full Tests","2026-07-28","passed","2026-07-28","tests.ui.ProjectUiTest","UI Tests","tests.ui.ProjectUiTest","checkCreateProjectWithRequiredFields"
"","9467","Verify that user can successfully create a project with all available fields","Full Tests","2026-07-28","passed","2026-07-28","tests.ui.SuiteUITest","UI Tests","tests.ui.SuiteUITest","checkCreateSuiteWithAllField"
"","6268","Verify that user can successfully log in with valid credentials","Full Tests","2026-07-28","passed","2026-07-28","tests.ui.LoginUiTest","UI Tests","tests.ui.LoginUiTest","checkLoginSuccessful"
"","11116","Verify that project name, code and description can be fully updated","Full Tests","2026-07-28","passed","2026-07-28","tests.ui.ProjectSettingsUiTest","UI Tests","tests.ui.ProjectSettingsUiTest","checkUpdateProjectWithNewData"
"","2974","Verify that user cannot log in with incorrect username or password","Full Tests","2026-07-28","passed","2026-07-28","tests.ui.LoginUiTest","UI Tests","tests.ui.LoginUiTest","checkLoginWithInvalidCredentials"
